band5,band6,band7,band8,class
252,221,190,155,cloud
247,224,194,157,cloud
249,224,198,159,cloud
251,223,198,160,cloud
255,214,187,152,cloud
250,211,182,152,cloud
235,208,178,146,cloud
214,192,165,132,cloud
196,176,154,125,cloud
190,170,148,120,cloud
175,154,133,107,cloud
154,136,116,94,cloud
192,172,150,123,cloud
191,172,153,127,cloud
189,166,147,124,cloud
183,161,141,115,cloud
178,157,135,113,cloud
192,170,144,121,cloud
217,190,160,132,cloud
230,199,168,133,cloud
216,193,164,130,cloud
215,193,168,136,cloud
221,197,173,139,cloud
229,199,168,133,cloud
215,184,148,115,cloud
203,184,151,118,cloud
199,182,156,122,cloud
194,172,147,119,cloud
182,163,142,115,cloud
172,155,134,109,cloud
162,145,123,101,cloud
150,133,116,94,cloud
160,143,122,102,cloud
187,168,147,122,cloud
195,176,156,130,cloud
197,177,154,129,cloud
189,168,145,118,cloud
173,156,133,109,cloud
172,155,132,109,cloud
180,164,141,115,cloud
187,170,146,119,cloud
183,163,140,116,cloud
185,163,140,113,cloud
190,167,137,109,cloud
187,164,131,101,cloud
160,143,116,92,cloud
160,145,121,98,cloud
166,152,132,111,cloud
175,158,140,119,cloud
181,162,141,118,cloud
173,156,134,109,cloud
160,144,126,102,cloud
152,136,120,97,cloud
134,118,104,90,cloud
149,135,119,102,cloud
177,162,144,120,cloud
194,178,160,133,cloud
200,185,166,139,cloud
199,178,161,136,cloud
184,163,148,127,cloud
174,153,137,119,cloud
176,156,139,121,cloud
184,165,145,124,cloud
183,164,141,117,cloud
173,153,130,106,cloud
161,143,119,96,cloud
150,135,117,97,cloud
147,130,118,104,cloud
158,141,128,112,cloud
173,156,139,119,cloud
183,166,150,125,cloud
186,167,152,127,cloud
178,158,140,118,cloud
163,144,126,107,cloud
